"game_id","turn_number","nickname","rack","location","move","points","score","turn_type"
"6KyyGWpo",1,"BasicBot","AEINRTW","8D","WINTER",26,26,"Play"
"6KyyGWpo",2,"HAYDEN","AEGIIOR","7B","GIO",10,10,"Play"
"6KyyGWpo",3,"BasicBot","AGPQRSU","J6","GASP",21,47,"Play"
"6KyyGWpo",4,"HAYDEN","AAEEIRT","7F","AE",8,18,"Play"
"6KyyGWpo",5,"BasicBot","BEQRSUY","9B","BYE",18,65,"Play"
"6KyyGWpo",6,"HAYDEN","AEEINRT",NA,"-",0,18,"Pass"
"6KyyGWpo",7,"BasicBot","AAOQRSU","B9",".URQAS",38,103,"Play"
"6KyyGWpo",8,"HAYDEN","AEEINRT",NA,"-",0,18,"Pass"
"6KyyGWpo",9,"BasicBot","AHINOTX","F2","XANTH..",41,144,"Play"
"EYYkLASE",1,"HAYDEN","ACEEFNO","8H","FACE",18,18,"Play"
"EYYkLASE",2,"BasicBot","EEIILNT","L6","LITE",16,16,"Play"
"EYYkLASE",3,"HAYDEN","BENNNOO","9G","BEN",17,35,"Play"
"EYYkLASE",4,"BasicBot","DEILNRZ","M9","DINER",21,37,"Play"
"EYYkLASE",5,"HAYDEN","DLNNOOS","10F","DON",18,53,"Play"
"EYYkLASE",6,"BasicBot","AFLSUUZ","12J","FLU.",14,51,"Play"
"EYYkLASE",7,"HAYDEN","AALNOOS","11D","LOAN",16,69,"Play"
"EYYkLASE",8,"BasicBot","AMMSUVZ","E11",".VUM",9,60,"Play"
"EYYkLASE",9,"HAYDEN","AIOOQSX","14M","SOX",27,96,"Play"
"EYYkLASE",10,"BasicBot","AIMOSSZ","O14",".I",27,87,"Play"
"EYYkLASE",11,"HAYDEN","AEIOQRS","11I","QI",16,112,"Play"
"EYYkLASE",12,"BasicBot","AHMOSSZ","13C","SM.SH",28,115,"Play"
"EYYkLASE",13,"HAYDEN","AEGORSU","14E",".OE",16,128,"Play"
"EYYkLASE",14,"BasicBot","?AENOUZ","6L",".AZE",33,148,"Play"
"EYYkLASE",15,"HAYDEN","AAEGRSU","15G","RAGA",21,149,"Play"
"EYYkLASE",16,"BasicBot","??GNOTU","M2","NOUG.T",19,167,"Play"
"EYYkLASE",17,"HAYDEN","EEOSTUV","O6",".VE",18,167,"Play"
"EYYkLASE",18,"BasicBot","??GILRY","2G","YeaRLI.G",74,241,"Play"
"EYYkLASE",19,"HAYDEN","EEOOSTU","1F","TOE",17,184,"Play"
"EYYkLASE",20,"BasicBot","ADEIIOR","12B","OI",4,245,"Play"
"EYYkLASE",21,"HAYDEN","EOPPSUW","A12","POWS",44,228,"Play"
"EYYkLASE",22,"BasicBot","AADEEIR","4I","ADIE.",12,257,"Play"
